#,Time,Service,Flags,Prio,Source Address,Source Name,Destination Address,Destination Name,Hop Count,Type,DPT,Info,Iack
1,"3/14/2026 2:37:09.199 PM",,,,,,,,,,,"Recording was started, Host=DESKTOP-ACVLRE6, Connection=TSY KNX IP Route, Mode=LinkLayer",
2,"3/14/2026 2:37:10.144 PM",to bus,,System,1.1.11,"-",0/0/0,"Broadcast",5,SystemNetworkParameter_Read,,"00 00 00 B0 01",LL_ACK
3,"3/14/2026 2:37:23.781 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
4,"3/14/2026 2:37:23.803 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
5,"3/14/2026 2:37:23.868 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
6,"3/14/2026 2:37:23.920 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
7,"3/14/2026 2:37:24.036 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec,,"SyncReq, SourceSeqNr=258354670760",LL_ACK
8,"3/14/2026 2:37:24.127 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,Sec,,"SyncRes, SourceSeqNr=14050, TargetSeqNr=258354670760",LL_ACK
9,"3/14/2026 2:37:24.228 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1",LL_ACK
10,"3/14/2026 2:37:24.312 PM",from bus,E,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=11, Count=1, StartIndex=1, Data=00 85 56 04 01 2D",LL_ACK
11,"3/14/2026 2:37:24.360 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,DeviceDescriptor_Read,,"DescriptorType=0",LL_ACK
12,"3/14/2026 2:37:24.387 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,DeviceDescriptor_Response,,"DescriptorType=0, DescriptorData=07 B0",LL_ACK
13,"3/14/2026 2:37:24.429 PM",to bus,,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,PropertyValue_Read,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1",LL_ACK
14,"3/14/2026 2:37:24.469 PM",from bus,,System,1.1.7,"KNX 4 Buttons",1.1.11,"-",6,PropertyValue_Response,,"ObjectIndex=0, PropertyId=56, Count=1, StartIndex=1, Data=00 FE",LL_ACK
15,"3/14/2026 2:37:24.599 PM",to bus,E,System,1.1.11,"-",1.1.7,"KNX 4 Buttons",5,Sec,,"SyncReq, SourceSeqNr=258354670761",LL_ACK
